smiles,Kode-1,Kode-2
CCCCC[C@H](C[C@H](CC(=O)O[C@@H](CCCCC)C[C@@H](CC(=O)[O-])O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O,C67910394,P104261307
C=C(CCO)C(=O)OC[C@@H]1[C@@H]([C@@H]([C@H](CO1)OC(=O)C(=C)CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C(=C)CCO)O)O)O)O)O,C67911821,P104263412
C=C(CCO)C(=O)OC[C@H]1[C@@H]([C@@H]([C@H](CO1)OC(=O)C(=C)CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C(=C)CCO)O)O)O)O)O,C67911826,P104263419
C[C@H]([C@@H](C(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])N)O,C71788360,P111271080
CC(C)[C@@H](C(=O)OCCOCn1cnc2c1nc([nH]c2=O)NCNc3[nH]c(=O)c4c(n3)n(cn4)COCCOC(=O)[C@H](C(C)C)[NH3+])[NH3+],C72130492,P111975966
CC(C)[C@@H](C(=O)OCCOCn1cnc2c1nc([nH]c2=O)NCNc3[nH]c(=O)c4c(n3)n(cn4)COCCOC(=O)[C@H](C(C)C)N)N,C72130492,P111975967
CCC(=O)OCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)O)NC(=O)C,C77292230,P120585584
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](C(C)C)[NH3+],C85545908,P133892143
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](C(C)C)N,C85545908,P133893703
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)[O-])NC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](C(C)C)[NH3+],C85545908,P133916328
