"AverageShortestPathLength","BetweennessCentrality","cl1.Status","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.3393939393939394","0.0","Overlap","0.29945553539019965","1.0","3","5","false","SCT","11.666666666666666","0","3","0","0.9616492796820666","false","0","SCT","0","0.6481481481481481"
"3.3636363636363638","4.551409625551829E-4","Outlier","0.2972972972972973","0.3333333333333333","3","6","false","HFE","9.0","0","3","0","0.9612518628912071","false","0","HFE","50","0.48148148148148145"
"3.242424242424242","3.5331044579355297E-4","Outlier","0.30841121495327106","0.5","4","6","false","ZFAND2A","7.5","0","4","0","0.9632389468455043","false","0","ZFAND2A","96","0.35714285714285715"
"3.0303030303030303","0.0","Outlier","0.33","1.0","2","5","false","PTGDS","19.0","0","2","0","0.9667163437655241","false","0","PTGDS","0","0.6333333333333333"
"3.272727272727273","0.0","Outlier","0.3055555555555555","1.0","2","6","false","VSNL1","10.0","0","2","0","0.9627421758569299","false","0","VSNL1","0","0.5555555555555556"
"2.5454545454545454","0.009331265115474007","Cluster","0.39285714285714285","0.39285714285714285","8","5","false","CHI3L1","26.25","0","8","0","0.9746646795827123","false","0","CHI3L1","1438","0.3201219512195122"
"2.672727272727273","0.004734157036545521","Overlap","0.37414965986394555","0.4166666666666667","9","5","false","CRH","20.555555555555557","0","9","0","0.9725782414307005","false","0","CRH","1240","0.29365079365079366"
"2.6484848484848484","0.0038747998526952065","Cluster","0.37757437070938216","0.25","9","5","false","RELN","13.666666666666666","0","9","0","0.9729756582215598","false","0","RELN","658","0.22043010752688172"
"2.7636363636363637","0.004628300747194365","Outlier","0.3618421052631579","0.3","5","5","false","COL25A1","16.4","0","5","0","0.9710879284649776","false","0","COL25A1","722","0.29285714285714287"
"2.696969696969697","0.0031800449260000834","Outlier","0.3707865168539326","0.4666666666666667","6","4","false","PAFAH1B1","14.5","0","6","0","0.972180824639841","false","0","PAFAH1B1","360","0.24293785310734464"
"2.496969696969697","0.00633229338961671","Outlier","0.40048543689320387","0.3090909090909091","11","4","false","MAP1B","17.363636363636363","0","11","0","0.9754595131644311","false","0","MAP1B","1116","0.2186421173762946"
"3.0727272727272728","9.088341308708544E-4","Outlier","0.3254437869822485","0.0","3","5","false","TTBK1","12.333333333333334","0","3","0","0.9660208643815201","false","0","TTBK1","154","0.41975308641975306"
